lead,n,cov_t50max,cov_t100max,cov_t50min,cov_t100min,w_t50max,w_t100max,w_t50min,w_t100min
0,71,0.18309859154929578,0.5492957746478874,0.1267605633802817,0.4788732394366197,0.6000000000000001,2.1056338028169015,0.6605633802816904,2.1929577464788728
1,71,0.16901408450704225,0.6056338028169014,0.29577464788732394,0.704225352112676,0.828169014084507,2.752112676056338,0.8802816901408452,3.2140845070422537
2,71,0.23943661971830985,0.647887323943662,0.2676056338028169,0.704225352112676,1.1436619718309857,3.8197183098591547,1.1859154929577465,4.1070422535211275
3,71,0.2676056338028169,0.7746478873239436,0.4225352112676056,0.8450704225352113,1.4,4.6633802816901415,1.5985915492957747,5.046478873239436
4,71,0.3380281690140845,0.8450704225352113,0.352112676056338,0.8732394366197183,1.6957746478873237,5.909859154929578,2.0197183098591553,6.6056338028169
5,71,0.39436619718309857,0.9154929577464789,0.4084507042253521,0.8591549295774648,2.0535211267605638,7.101408450704226,2.576056338028169,8.069014084507042
6,71,0.3380281690140845,0.9014084507042254,0.4788732394366197,0.8450704225352113,2.4943661971830986,8.37605633802817,2.8338028169014087,8.819718309859153
7,71,0.39436619718309857,0.9295774647887324,0.43661971830985913,0.9154929577464789,2.6788732394366197,9.280281690140843,3.2521126760563384,9.963380281690139
8,71,0.4084507042253521,0.8732394366197183,0.4507042253521127,0.9436619718309859,3.2197183098591546,10.561971830985916,3.660563380281689,10.94225352112676
9,71,0.323943661971831,0.9014084507042254,0.4084507042253521,0.9154929577464789,3.2999999999999994,11.494366197183098,3.515492957746479,11.407042253521126
10,71,0.43661971830985913,0.9154929577464789,0.3380281690140845,0.9436619718309859,3.435211267605634,10.678873239436623,3.476056338028169,10.415492957746478
11,71,0.28169014084507044,0.8732394366197183,0.323943661971831,0.8873239436619719,3.5676056338028173,11.498591549295778,3.757746478873239,11.292957746478876
12,71,0.29577464788732394,0.8169014084507042,0.323943661971831,0.8028169014084507,3.6380281690140857,11.953521126760563,3.8042253521126765,11.63098591549296
13,70,0.44285714285714284,0.8857142857142857,0.3142857142857143,0.9142857142857143,3.6342857142857143,12.09142857142857,3.885714285714285,12.011428571428569
14,70,0.42857142857142855,0.8714285714285714,0.3142857142857143,0.8142857142857143,3.715714285714286,12.084285714285716,3.9542857142857137,11.962857142857143
