lead,n_rows,mos_mae_tmax,fc_mae_tmax,mos_mae_tmin,fc_mae_tmin,mos_mae_precip,fc_mae_precip
0,24,1.1470347193502992,1.2166666666666663,1.0059850185462362,1.0125000000000002,0.6369711282891067,0.40833333333333327
1,24,1.108713568342561,1.5083333333333335,1.1534961753400712,1.1791666666666667,1.3231605380316143,0.6666666666666669
2,24,1.5655231548767368,1.4708333333333332,1.1599798618924884,1.6041666666666667,2.3801326141705075,1.3583333333333336
3,24,1.3031412776483455,1.7125000000000004,1.7124270683931375,1.5375000000000003,1.8175481716779833,1.5416666666666667
4,24,1.7007986524665497,2.0833333333333335,1.955221724191129,1.875,1.0965889605965862,1.5625
5,24,1.835366759283599,2.045833333333334,1.7551954770470142,1.9708333333333332,1.7599722964629383,1.4458333333333335
6,24,1.616287379101384,1.9416666666666667,2.3243811094637206,2.4458333333333333,1.9554180426172536,1.9125000000000003
7,24,1.6595617691740674,2.2624999999999997,2.685085826533605,2.8874999999999997,2.707065707565491,2.2750000000000004
8,24,2.3283145645254586,2.4916666666666667,2.2662192895187694,3.5500000000000003,2.9390446716302634,2.733333333333333
9,24,2.4188569632423333,2.441666666666667,2.825309458078428,2.6625,2.232041008408165,2.6625
10,24,1.84186045221629,2.275,2.8464885667531505,3.0500000000000003,2.1322978440354112,1.9333333333333333
11,24,3.4121601230403535,3.3083333333333336,3.872061874279154,4.091666666666667,2.325532628544591,2.1625
12,24,3.6548983833247757,3.241666666666667,4.289206342170964,4.483333333333333,2.795659275382771,2.6541666666666663
13,23,3.427355657109857,3.0260869565217394,4.079577150025084,3.7217391304347824,2.1923815425162796,2.2173913043478257
14,23,3.0049095825509995,2.9913043478260875,3.195807508412915,3.617391304347826,3.1126079509020603,3.38695652173913
