lead,n,ml_mae_tmax,cl_mae_tmax,skill_tmax,ml_mae_tmin,cl_mae_tmin,skill_tmin,ml_mae_precip,cl_mae_precip,skill_precip
1,1825,1.5490129980322491,2.860279592814231,0.45844000638127325,1.656825085129889,3.2475116610721306,0.4898170482372014,2.294834271042417,2.5513555208001395,0.10054312214288108
2,1824,2.0922444003359666,2.8609057429099725,0.2686776187852178,2.3598168263716333,3.247647358254736,0.2733765196601323,2.539531630034552,2.551511837551546,0.004695336835470187
3,1823,2.3958370003336484,2.8623981433502634,0.16299659224573615,2.748265736230347,3.2485946254722218,0.15401394969960158,2.621500664227202,2.5518613856169687,-0.027289600839113026
4,1822,2.5617438976302727,2.8637382195975576,0.10545458376768957,2.951790182906874,3.2489477538038773,0.09146271144221707,2.6018319860951893,2.5521186548280004,-0.019479239796763803
5,1821,2.703372586811711,2.865007736438661,0.05641700284826101,3.091747173357362,3.249363316660328,0.04850677746462728,2.6262446852305366,2.552385477940903,-0.02893732468232746
6,1820,2.7748817741021066,2.8663100455274706,0.03189755119758475,3.1867951425307144,3.250361611047247,0.01955673741053432,2.6601186981939997,2.552865238764375,-0.04201297342335897
7,1819,2.8315878159866563,2.8666342273135643,0.012225630669229548,3.2710447607182234,3.24982455161007,-0.006529647607480982,2.6963371206184776,2.5531927386992965,-0.05606485548447271
8,1818,2.8713970960287556,2.867769561100537,-0.0012649325027449532,3.3122367422850525,3.2504598757887306,-0.019005577320449607,2.700398321205924,2.553739906565225,-0.05742887686552001
9,1817,2.8731015650036125,2.8685444809141636,-0.00158863985542812,3.3345225204233517,3.250948660716331,-0.02570752984102964,2.757230916133553,2.55395031456475,-0.07959457958501681
10,1816,2.855328076176928,2.8690256148822857,0.004774282472176483,3.3587186291680333,3.2506448893826967,-0.03324686130383814,2.6537113284909233,2.5550963624952767,-0.03859539993996175
11,1815,2.8513154282266693,2.8694006638776415,0.006302792035508986,3.3554260478321485,3.2498585107664213,-0.0324837332813086,2.648832549996259,2.5555281353829167,-0.0365108148572042
12,1814,2.871416997266324,2.8698885277582713,-0.0005325884588440744,3.377452574303389,3.249708444938796,-0.039309412376222985,2.660695493151066,2.5500346121825883,-0.043395834879967454
13,1813,2.9020949754229166,2.8705137483271597,-0.01100194246209818,3.3759230183481996,3.2492795622679007,-0.038975857156441585,2.6586182304861183,2.5461610916858732,-0.044167330640413116
14,1812,2.923961032192326,2.8680706529358373,-0.019487099872967706,3.411679109633609,3.24376864318799,-0.051764008138569295,2.7094576956474525,2.5466789553083307,-0.06391804510726562
