lead,n,ml_mae_tmax,fc_mae_tmax,cl_mae_tmax,ml_mae_tmin,fc_mae_tmin,cl_mae_tmin,ml_mae_precip,fc_mae_precip,cl_mae_precip
1,32,1.4148477858745818,1.4343750000000002,3.533032339684125,1.4586118236823906,1.2375,3.582522856607678,2.9467992160020313,0.725,3.6544251656082016
2,32,1.762406830586437,1.484375,2.754614834570192,1.881875195322627,1.528125,2.9498192878550022,4.2042554191720445,1.334375,4.350143279339708
3,32,1.9675865852958565,1.7156250000000002,2.7813788518029585,2.746796443386918,1.59375,3.0195134255625327,2.45640195831264,1.509375,2.494403706412635
4,32,2.537943186449385,2.059375,2.4685505640193144,3.3526165850767566,1.7156250000000002,3.405977140419105,1.885575889428741,1.39375,1.7672957548403976
5,32,2.32517001390509,1.94375,2.5176366341991345,3.1487475701281964,2.03125,3.163543747918748,2.3382701273969007,1.5750000000000002,2.022554833559298
6,32,2.254651890567604,2.065625,3.0948659153346654,2.834215335668506,2.328125,3.2634245442057948,2.6018110100952936,1.6500000000000001,2.433522504281433
7,32,2.6082728805223643,2.140625,3.0111345499738356,3.2447298322366036,2.659375,3.5975531982898055,2.343538795986764,2.03125,2.657905487369773
8,32,1.7604839112526045,2.5062499999999996,2.718161667201846,2.4992874433316237,3.059375,2.8078075644593508,2.522509777895221,2.6781249999999996,2.5799554686385044
9,32,2.337899359139369,2.584375,2.5817113466890254,2.5942277463545644,2.5125,2.9351632519266446,2.5103266126115864,2.890625,2.468551128930593
10,32,1.9776333029568778,2.3812499999999996,2.215630693711051,2.441986813110524,2.8406249999999997,2.4496416158246515,2.5904511281573406,2.696875,2.430317680831074
11,32,3.1034814822736063,3.48125,3.155042041292041,3.5014008107668833,3.7,3.335121515389372,2.355832283599886,1.7,2.0972495287450643
12,32,3.1998904277042026,3.3906250000000004,3.4097671376242813,3.5775085468042302,4.125,3.86564738832596,2.815382912995405,2.559375,2.6715249111008044
13,31,2.8698796755081997,3.1193548387096777,3.1252948434054435,3.610223350672942,3.6258064516129034,3.9925289303630325,2.550787945897237,2.1354838709677417,2.39364843298023
14,31,2.268047735048932,2.8096774193548386,2.8680029801227964,3.502030356701506,3.5096774193548392,3.335071925002801,2.9619236496031887,3.1419354838709674,2.5954093678978465
