run_date,target_date,lead,foreca_tmax,mos_tmax,clim_tmax,foreca_tmin,mos_tmin,clim_tmin,foreca_precip,mos_precip,clim_precip
2026-04-12,2026-04-12,0,11.2,9.27,6.168571428571429,-0.7,0.22,-0.1771428571428571,0.0,0.27,0.8609523809523809
2026-04-12,2026-04-13,1,12.5,9.54,6.432380952380952,-0.3,-0.06,-0.1399999999999999,0.0,0.24,0.9095238095238096
2026-04-12,2026-04-14,2,14.5,12.78,6.746666666666666,0.0,0.19,0.0095238095238095,0.0,0.24,1.0257142857142858
2026-04-12,2026-04-15,3,14.7,12.92,7.023809523809524,0.2,1.29,0.2828571428571428,0.6,0.35,1.1800000000000002
2026-04-12,2026-04-16,4,15.0,12.73,7.275238095238095,1.3,1.44,0.4095238095238095,5.3,2.07,1.1676190476190478
2026-04-12,2026-04-17,5,15.5,13.19,7.586666666666667,2.0,2.37,0.4104761904761904,0.0,0.5,1.060952380952381
2026-04-12,2026-04-18,6,15.5,13.45,8.057142857142857,1.0,1.29,0.6533333333333334,0.3,0.5,1.2038095238095237
2026-04-12,2026-04-19,7,15.5,13.15,8.549523809523809,0.7,1.13,0.9933333333333332,0.0,0.33,1.1676190476190476
2026-04-12,2026-04-20,8,16.4,13.05,8.711428571428572,1.5,1.14,1.2123809523809523,1.4,0.73,1.2485714285714284
2026-04-12,2026-04-21,9,14.8,12.52,8.80952380952381,1.7,2.33,1.3761904761904762,0.7,0.58,1.2571428571428571
2026-04-12,2026-04-22,10,15.0,12.68,8.981904761904762,1.5,1.23,1.4314285714285715,0.0,1.14,1.2657142857142856
2026-04-12,2026-04-23,11,14.8,12.36,9.022857142857143,1.3,1.3,1.600952380952381,0.0,0.53,1.477142857142857
2026-04-12,2026-04-24,12,13.7,13.4,9.052380952380952,1.5,1.16,1.8971428571428577,0.0,1.22,1.6780952380952383
2026-04-12,2026-04-25,13,13.8,13.05,8.976190476190478,0.2,1.07,1.8533333333333333,0.0,1.38,1.5676190476190472
2026-04-12,2026-04-26,14,13.8,13.58,8.843809523809524,0.2,0.77,1.897142857142857,0.0,1.79,1.9314285714285715
2026-04-13,2026-04-13,0,11.2,9.27,6.432380952380952,0.5,0.61,-0.1399999999999999,0.0,0.25,0.9095238095238096
2026-04-13,2026-04-14,1,12.0,9.67,6.746666666666666,0.7,0.54,0.0095238095238095,0.0,0.21,1.0257142857142858
2026-04-13,2026-04-15,2,14.0,12.98,7.023809523809524,1.0,0.96,0.2828571428571428,0.0,0.21,1.1800000000000002
2026-04-13,2026-04-16,3,12.2,10.62,7.275238095238095,3.8,3.9,0.4095238095238095,4.9,2.26,1.1676190476190478
2026-04-13,2026-04-17,4,12.5,10.79,7.586666666666667,4.0,3.43,0.4104761904761904,0.1,0.48,1.060952380952381
2026-04-13,2026-04-18,5,12.0,9.7,8.057142857142857,2.5,2.53,0.6533333333333334,0.2,0.48,1.2038095238095237
2026-04-13,2026-04-19,6,11.8,8.83,8.549523809523809,1.0,0.5,0.9933333333333332,0.4,0.27,1.1676190476190476
2026-04-13,2026-04-20,7,13.5,12.25,8.711428571428572,1.3,0.58,1.2123809523809523,0.0,0.49,1.2485714285714284
2026-04-13,2026-04-21,8,13.8,12.88,8.80952380952381,2.5,1.9,1.3761904761904762,0.0,0.56,1.2571428571428571
2026-04-13,2026-04-22,9,12.8,8.9,8.981904761904762,2.2,1.76,1.4314285714285715,0.0,0.53,1.2657142857142856
2026-04-13,2026-04-23,10,12.5,9.0,9.022857142857143,2.2,2.07,1.600952380952381,0.0,1.38,1.477142857142857
2026-04-13,2026-04-24,11,12.7,9.45,9.052380952380952,2.1,2.17,1.8971428571428577,0.0,1.13,1.6780952380952383
2026-04-13,2026-04-25,12,12.5,9.33,8.976190476190478,1.3,0.99,1.8533333333333333,0.0,1.46,1.5676190476190472
2026-04-13,2026-04-26,13,12.2,8.97,8.843809523809524,2.3,1.6,1.897142857142857,0.0,1.13,1.9314285714285715
2026-04-13,2026-04-27,14,12.2,9.27,8.915238095238097,2.3,1.91,1.9190476190476191,0.0,1.44,1.8923809523809525
